path	verdict	content_finding	detail
/home/reyerchu/_jcapture	LANDED	CONTENT_ON_MAIN	merge-base b3628c8da99b212aa5fe371396c5945de84588f6; 0 paths this head changed relative to the merge-base, all 0 byte-identical to main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (or deleted here and absent there); 0 divergent
/home/reyerchu/jf-63x8-work/basejm9	LANDED	CONTENT_ON_MAIN	merge-base 8a9c5ad9efdf732fab58171422a145c032c62b47; 0 paths this head changed relative to the merge-base, all 0 byte-identical to main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (or deleted here and absent there); 0 divergent
/home/reyerchu/_jfeas_base	LANDED	CONTENT_ON_MAIN	merge-base e36d81c0a39dfa2ac496c4f683e7a21fb4fbf075; 0 paths this head changed relative to the merge-base, all 0 byte-identical to main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (or deleted here and absent there); 0 divergent
/home/reyerchu/_jppa_fixtures/tree	LANDED	CONTENT_ON_MAIN	merge-base 867de428920c708934f06411fc91225dc4f58fe6; 32 paths this head changed relative to the merge-base, all 32 byte-identical to main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (or deleted here and absent there); 0 divergent
/home/reyerchu/_jppa_power/base	LANDED	CONTENT_ON_MAIN	merge-base 867de428920c708934f06411fc91225dc4f58fe6; 0 paths this head changed relative to the merge-base, all 0 byte-identical to main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (or deleted here and absent there); 0 divergent
/home/reyerchu/wt-j63x8c	ABANDON	HOLDS_CONTENT	merge-base a00f53f2094812041c8aa6094f27058bc1b14ddd; 1 changed paths, 1 differ from BOTH main a4caccefeab577a5337f1854c9c857e4d7a2bd42 and the merge-base: RESULT.md
/home/reyerchu/wt-main62	LANDED	CONTENT_ON_MAIN	merge-base 6dfe15a329e6e1fbd621d0bfaadaed41c3c5db9a; 0 paths this head changed relative to the merge-base, all 0 byte-identical to main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (or deleted here and absent there); 0 divergent
/tmp/claude-1000/-home-reyerchu-vibe-ic/0144f922-cbe4-48a4-937e-a5e723ca0cec/scratchpad/wt-base	LANDED	CONTENT_ON_MAIN	merge-base 867de428920c708934f06411fc91225dc4f58fe6; 0 paths this head changed relative to the merge-base, all 0 byte-identical to main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (or deleted here and absent there); 0 divergent
/home/reyerchu/_cpath_priv/basetree	LANDED	CONTENT_ON_MAIN	merge-base 46db018669cbd98a2bf6738235edaa03b2ae32a7; 0 paths this head changed relative to the merge-base, all 0 byte-identical to main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (or deleted here and absent there); 0 divergent
/home/reyerchu/_gf180_priv/wt2	LANDED	CONTENT_ON_MAIN	merge-base e36d81c0a39dfa2ac496c4f683e7a21fb4fbf075; 0 paths this head changed relative to the merge-base, all 0 byte-identical to main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (or deleted here and absent there); 0 divergent
/home/reyerchu/_jcorpus/base	LANDED	CONTENT_ON_MAIN	merge-base e36d81c0a39dfa2ac496c4f683e7a21fb4fbf075; 0 paths this head changed relative to the merge-base, all 0 byte-identical to main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (or deleted here and absent there); 0 divergent
/home/reyerchu/_jd3	LANDED	CONTENT_ON_MAIN	merge-base a00f53f2094812041c8aa6094f27058bc1b14ddd; 0 paths this head changed relative to the merge-base, all 0 byte-identical to main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (or deleted here and absent there); 0 divergent
/home/reyerchu/_jppa_skills/tree	LANDED	CONTENT_ON_MAIN	merge-base 867de428920c708934f06411fc91225dc4f58fe6; 28 paths this head changed relative to the merge-base, all 28 byte-identical to main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (or deleted here and absent there); 0 divergent
/home/reyerchu/_v1126	ABANDON	HOLDS_CONTENT	merge-base 3d13e2c59eb0e65527326b1f932050550c982188; 2 changed paths, 2 differ from BOTH main a4caccefeab577a5337f1854c9c857e4d7a2bd42 and the merge-base: vibe-ic-marketplace/plugins/vibe-ic/programs/gate_host_independence_check.py vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_issue1029_the_killer_must_clean_up.py
/home/reyerchu/AI_IC_design/_jm9_base	LANDED	CONTENT_ON_MAIN	merge-base e36d81c0a39dfa2ac496c4f683e7a21fb4fbf075; 0 paths this head changed relative to the merge-base, all 0 byte-identical to main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (or deleted here and absent there); 0 divergent
/home/reyerchu/_j4reds2/base	LANDED	CONTENT_ON_MAIN	merge-base 867de428920c708934f06411fc91225dc4f58fe6; 0 paths this head changed relative to the merge-base, all 0 byte-identical to main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (or deleted here and absent there); 0 divergent
/home/reyerchu/_j4reds3/base	LANDED	CONTENT_ON_MAIN	merge-base 867de428920c708934f06411fc91225dc4f58fe6; 0 paths this head changed relative to the merge-base, all 0 byte-identical to main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (or deleted here and absent there); 0 divergent
/home/reyerchu/_jcap_priv/wt	LANDED	CONTENT_ON_MAIN	merge-base 4c7df07a03b2295fb5ffbb4dd4bba84c24754ec3; 0 paths this head changed relative to the merge-base, all 0 byte-identical to main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (or deleted here and absent there); 0 divergent
/home/reyerchu/_ptmo_priv/ppa	LANDED	CONTENT_ON_MAIN	merge-base bb90724dcd7ebe8d31474d5245a54fdce112b527; 0 paths this head changed relative to the merge-base, all 0 byte-identical to main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (or deleted here and absent there); 0 divergent
/home/reyerchu/_smrg_priv/smrg_base	LANDED	CONTENT_ON_MAIN	merge-base 053eecd27404294086d55b72b6d52d011b7a3257; 0 paths this head changed relative to the merge-base, all 0 byte-identical to main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (or deleted here and absent there); 0 divergent
