path	head	placement
/home/reyerchu/advA	8e73566a76c413ff3d1d29e748965a3fa941798a	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/advC	d8bc700e82a7ec5923330864bc468cac1a3c1578	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/advD	84c3c14bbc4377a3f1367370028dae76f9b9501f	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/_advVD/wtB	23592ff4f493a42571adb477937681d7c6acf367	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/_agentjob_i1424/reb	caca22fabfe452f4239aa4a4d5a1eaf32fcf9200	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/_gk1347	6568bad097556858396aa82328f938291668bc66	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/_jppa_prscope/mut	02405e0ee001bda8efa146bfb29b6bd068b660f0	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/_pg_pair	f3ad1d1be9b243ce20cd69aad959428362f0796a	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/vibe-ic-wt-caravel-final	1a53aba6dc8e51548db59be732d02e73cbd109f0	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/vibe-ic-wt-caravel-rerun	8a4211ed355bb9418758a0848d88fad081bf9b79	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/_w5b	6e92df4fd47086ab2afbbe06c12d95a2e9d8c9b9	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/_wt_1621	c2c2672dc143eb189cf951d89ca14a3efb15f12e	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/_wt_c2	43e4297882c66f09fb49b6e014c25506c17a19ea	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/_wt_c3	8c34838bac6541b4adcfebae21694ddddc93258b	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/_wt_compose	f3a384905ea93c5db3d3a707be6a8e00659c2eb5	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/_wt_n2	71ebf5645fd82bddae6a91ecf04d68886dcfcde7	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/_wt_pair	3e8005f874b6f33d10d95759b315227957c245d8	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/_wt_union	dbe9bde9bbf4e7ab320b4525eb3475ec938a4ecf	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/_wt_v1610	841f93a53e1a71a2427edacfacd8803ca5a95d83	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/_wt_v1618	4a6aa19a569f3fa7fea56b8895a3c2a30e50c382	UNDETERMINED_from_108_object_not_in_this_clone
/home/reyerchu/_wt_x	5475faad9e37e5030bbf279d4f8de22bfa293f3c	UNDETERMINED_from_108_object_not_in_this_clone
