path	verdict	evidence
/home/reyerchu/.claude/plugins/marketplaces/vibe-ic-marketplace	LANDED	whole tree 86df130761f is byte-for-byte a tree origin/main publishes, at 74ac9fa788f (2026-08-19), against main a00f53f2094. (Partial checkout: files main has are absent from disk, none modified. NOTE: a plugin/marketplace INSTALL directory looks exactly like this — removing one uninstalls the plugin.) [worktree HEAD when judged: 74ac9fa788f -- re-measure before acting; these hosts are live] [safe to delete: its head is ref `main` in the clone, so the commit survives the directory]
/home/reyerchu/.codex/.tmp/marketplaces/vibe-ic-marketplace	RECOVER	its HEAD holds nothing main lacks, but the WORKING TREE holds 0 modified + 1 new non-ignored file(s) that are on no branch at all. sha256(UNCOMMITTED[NEW:.codex-marketplace-install.json]) = (not on disk) here, - on main (-); that file is - [worktree HEAD when judged: 116bcb5a82e -- re-measure before acting; these hosts are live] [safe to delete: its head is ref `main` in the clone, so the commit survives the directory]
/home/reyerchu/_agent_scratch_spm9/vibe-ic	RECOVER	its HEAD holds nothing main lacks, but the WORKING TREE holds 1 modified + 1 new non-ignored file(s) that are on no branch at all. sha256(UNCOMMITTED[MOD:vibe-ic-marketplace/plugins/vibe-ic/programs/hold_corner_coverage_check.py) = (not on disk) here, - on main (-); that file is - [worktree HEAD when judged: b85d68acc6c -- re-measure before acting; these hosts are live] [safe to delete: its head is ref `main` in the clone, so the commit survives the directory]
/home/reyerchu/_c_car11_scratch/vic	ABANDON	superseded intermediate: all 1 of its differing files reverse-apply cleanly onto main, so main already contains its change and has moved further on the same files. Nothing in it is absent from main but an older copy of what main has. [worktree HEAD when judged: 420a1274d4a -- re-measure before acting; these hosts are live] [safe to delete: its head is ref `fix/step5-formal-sby-include-hub-aggregator` in the clone, so the commit survives the directory]
/home/reyerchu/_fx63_rev	RECOVER	7 of the 7 files it owns hold bytes main does not have. sha256(tools/gen_adversarial_findings.py) = b0ee7a61d7679f15663a0a462eb7756cff61e551feb8511a92b64c771a13a0ad here, 4f828b5cb05df04c560c0ceae90dd65e592935667dbc0e1655445727539f0042 on main (+4/-57 lines vs main); that file is python, 63 lines — Generate programs/adversarial_findings.json from a LIVE campaign. argv: <plugin> [worktree HEAD when judged: 083cc7d43c8 -- re-measure before acting; these hosts are live] [**DELETING THIS DIRECTORY DESTROYS THE COMMIT**: its head is on no ref in the clone, so the worktree's own HEAD is the only pointer to it. Put it on a branch first -- `git -C <clone> branch <name> <sha>` -- or copy the files out. It IS preserved: commit 083cc7d43c8 is a parent of harvest/rescue-8HD-9-vibe-ic on origin, so `git fetch origin harvest/rescue-8HD-9-vibe-ic && git checkout 083cc7d43c8` restores it even if the directory goes.]
/home/reyerchu/_fx63_rev2	RECOVER	7 of the 7 files it owns hold bytes main does not have. sha256(tools/gen_adversarial_findings.py) = b0ee7a61d7679f15663a0a462eb7756cff61e551feb8511a92b64c771a13a0ad here, 4f828b5cb05df04c560c0ceae90dd65e592935667dbc0e1655445727539f0042 on main (+4/-57 lines vs main); that file is python, 63 lines — Generate programs/adversarial_findings.json from a LIVE campaign. argv: <plugin> [worktree HEAD when judged: 083cc7d43c8 -- re-measure before acting; these hosts are live] [**DELETING THIS DIRECTORY DESTROYS THE COMMIT**: its head is on no ref in the clone, so the worktree's own HEAD is the only pointer to it. Put it on a branch first -- `git -C <clone> branch <name> <sha>` -- or copy the files out. It IS preserved: commit 083cc7d43c8 is a parent of harvest/rescue-8HD-9-vibe-ic on origin, so `git fetch origin harvest/rescue-8HD-9-vibe-ic && git checkout 083cc7d43c8` restores it even if the directory goes.]
/home/reyerchu/_fx63_rev3	RECOVER	7 of the 7 files it owns hold bytes main does not have. sha256(tools/gen_adversarial_findings.py) = b0ee7a61d7679f15663a0a462eb7756cff61e551feb8511a92b64c771a13a0ad here, 4f828b5cb05df04c560c0ceae90dd65e592935667dbc0e1655445727539f0042 on main (+4/-57 lines vs main); that file is python, 63 lines — Generate programs/adversarial_findings.json from a LIVE campaign. argv: <plugin> [worktree HEAD when judged: 083cc7d43c8 -- re-measure before acting; these hosts are live] [**DELETING THIS DIRECTORY DESTROYS THE COMMIT**: its head is on no ref in the clone, so the worktree's own HEAD is the only pointer to it. Put it on a branch first -- `git -C <clone> branch <name> <sha>` -- or copy the files out. It IS preserved: commit 083cc7d43c8 is a parent of harvest/rescue-8HD-9-vibe-ic on origin, so `git fetch origin harvest/rescue-8HD-9-vibe-ic && git checkout 083cc7d43c8` restores it even if the directory goes.]
/home/reyerchu/_fx63_rev4	RECOVER	7 of the 7 files it owns hold bytes main does not have. sha256(tools/gen_adversarial_findings.py) = b0ee7a61d7679f15663a0a462eb7756cff61e551feb8511a92b64c771a13a0ad here, 4f828b5cb05df04c560c0ceae90dd65e592935667dbc0e1655445727539f0042 on main (+4/-57 lines vs main); that file is python, 63 lines — Generate programs/adversarial_findings.json from a LIVE campaign. argv: <plugin> [worktree HEAD when judged: 083cc7d43c8 -- re-measure before acting; these hosts are live] [**DELETING THIS DIRECTORY DESTROYS THE COMMIT**: its head is on no ref in the clone, so the worktree's own HEAD is the only pointer to it. Put it on a branch first -- `git -C <clone> branch <name> <sha>` -- or copy the files out. It IS preserved: commit 083cc7d43c8 is a parent of harvest/rescue-8HD-9-vibe-ic on origin, so `git fetch origin harvest/rescue-8HD-9-vibe-ic && git checkout 083cc7d43c8` restores it even if the directory goes.]
/home/reyerchu/_fx63_rev5	RECOVER	7 of the 7 files it owns hold bytes main does not have. sha256(tools/gen_adversarial_findings.py) = da837dafd4c6af2b051403e179c184bec1827c6055f25bd1c55273dfab90c5ee here, 4f828b5cb05df04c560c0ceae90dd65e592935667dbc0e1655445727539f0042 on main (+47/-56 lines vs main); that file is python, 107 lines — Generate programs/adversarial_findings.json from a LIVE campaign. argv: <plugin> [worktree HEAD when judged: 083cc7d43c8 -- re-measure before acting; these hosts are live] [**DELETING THIS DIRECTORY DESTROYS THE COMMIT**: its head is on no ref in the clone, so the worktree's own HEAD is the only pointer to it. Put it on a branch first -- `git -C <clone> branch <name> <sha>` -- or copy the files out. It IS preserved: commit 083cc7d43c8 is a parent of harvest/rescue-8HD-9-vibe-ic on origin, so `git fetch origin harvest/rescue-8HD-9-vibe-ic && git checkout 083cc7d43c8` restores it even if the directory goes.]
/home/reyerchu/_gk1764	RECOVER	6 of the 6 files it owns hold bytes main does not have. sha256(tools/ci/routed_def_corpus.py) = dfbf00bf3b56fc7d47f0283532c2b6502807161b656886115f2686dc2960e856 here, d04b8215c5819192e7dcc0813629e35dfe48f13bd5a5fc0b7b41bb649e14310e on main (+25/-3 lines vs main); that file is python, 398 lines — Enumerate the routed-DEF hygiene corpus from git's index. [worktree HEAD when judged: dc119d0520e -- re-measure before acting; these hosts are live] [**DELETING THIS DIRECTORY DESTROYS THE COMMIT**: its head is on no ref in the clone, so the worktree's own HEAD is the only pointer to it. Put it on a branch first -- `git -C <clone> branch <name> <sha>` -- or copy the files out. It IS preserved: commit dc119d0520e is a parent of harvest/rescue-8HD-9-vibe-ic on origin, so `git fetch origin harvest/rescue-8HD-9-vibe-ic && git checkout dc119d0520e` restores it even if the directory goes.]
